ID	comment	sand(%)	silt(%)	clay(%)	Theta_r	Theta_s	Alpha	N	Ks	psi_inflec
111	NA	4	18	78	0.10504	0.5177	1.988	1.17702	2.0642E-06	-0.100591847
112	NA	4	20	76	0.10509	0.5186	1.983	1.18354	2.06583E-06	-0.104412527
113	NA	4	22	74	0.10513	0.51926	1.971	1.19061	2.07248E-06	-0.108909172
114	NA	4	24	72	0.10516	0.51969	1.952	1.19826	2.1116E-06	-0.114150572
115	NA	4	26	70	0.1052	0.51992	1.926	1.20655	2.21311E-06	-0.120238797
116	NA	4	28	68	0.10524	0.51993	1.895	1.21551	2.39823E-06	-0.127146274
117	NA	4	30	66	0.10529	0.51975	1.857	1.22522	2.71408E-06	-0.135145102
118	NA	4	32	64	0.10533	0.51935	1.812	1.23575	3.11384E-06	-0.144418011
119	NA	4	34	62	0.10536	0.51875	1.762	1.24714	3.43977E-06	-0.154998213
120	NA	4	36	60	0.10538	0.51794	1.707	1.25943	3.44951E-06	-0.167091161
121	NA	4	38	58	0.10536	0.51694	1.65	1.27265	3.14138E-06	-0.18061756
122	NA	4	40	56	0.10528	0.51578	1.591	1.28684	2.72908E-06	-0.195772559
123	NA	4	42	54	0.10513	0.51449	1.531	1.30209	2.38769E-06	-0.212680528
124	NA	4	44	52	0.10488	0.51312	1.473	1.31853	2.13918E-06	-0.231151993
125	NA	4	46	50	0.10449	0.51168	1.415	1.33622	1.94335E-06	-0.251636525
126	NA	4	48	48	0.10394	0.51013	1.357	1.35511	1.78503E-06	-0.274297157
127	NA	4	50	46	0.1032	0.50834	1.299	1.37495	1.65914E-06	-0.299203088
128	NA	4	52	44	0.10223	0.50611	1.237	1.39535	1.5595E-06	-0.327424581
129	NA	4	54	42	0.10096	0.50324	1.172	1.41589	1.47836E-06	-0.359170732
130	NA	4	56	40	0.09931	0.49959	1.103	1.43616	1.40825E-06	-0.395411147
131	NA	4	58	38	0.09729	0.49515	1.032	1.45595	1.34403E-06	-0.436512936
132	NA	4	60	36	0.09511	0.49017	0.961	1.47539	1.28446E-06	-0.482950395
133	NA	4	62	34	0.09292	0.48495	0.894	1.49461	1.23606E-06	-0.533741744
134	NA	4	64	32	0.09072	0.47975	0.833	1.51345	1.20453E-06	-0.587701094
135	NA	4	66	30	0.08851	0.47486	0.779	1.53161	1.18562E-06	-0.643302885
136	NA	4	68	28	0.08632	0.47061	0.734	1.54881	1.17715E-06	-0.697246454
137	NA	4	70	26	0.08414	0.46725	0.699	1.56483	1.18349E-06	-0.745955515
138	NA	4	72	24	0.08197	0.46497	0.673	1.57953	1.21852E-06	-0.787590419
139	NA	4	74	22	0.07972	0.46386	0.655	1.59283	1.29309E-06	-0.820874093
140	NA	4	76	20	0.07734	0.46405	0.646	1.60469	1.41477E-06	-0.842617083
141	NA	4	78	18	0.07472	0.46567	0.644	1.61509	1.5903E-06	-0.854134145
142	NA	4	80	16	0.0718	0.46888	0.649	1.62402	1.82482E-06	-0.855016843
143	NA	4	82	14	0.06855	0.47388	0.662	1.63146	2.12281E-06	-0.844240407
144	NA	4	84	12	0.06495	0.48084	0.684	1.63737	2.48942E-06	-0.821659425
145	NA	4	86	10	0.06106	0.48997	0.715	1.64162	2.9314E-06	-0.789154755
146	NA	4	88	8	0.05699	0.50152	0.76	1.64404	3.45851E-06	-0.744090572
147	NA	4	90	6	0.05294	0.51569	0.823	1.64435	4.08583E-06	-0.687327199
148	NA	4	92	4	0.04913	0.53243	0.91	1.64234	4.8378E-06	-0.620463735
149	NA	4	94	2	0.04568	0.55113	1.029	1.63794	5.75129E-06	-0.546467557
150	NA	4	96	0	0.04259	0.57065	1.187	1.63142	6.8585E-06	-0.470822136
151	NA	6	0	94	0.10542	0.4924	1.663	1.14558	2.09193E-06	-0.099320246
152	NA	6	2	92	0.10484	0.49644	1.73	1.14514	2.08077E-06	-0.09518777
153	NA	6	4	90	0.10437	0.5001	1.793	1.14613	2.06381E-06	-0.092463863
154	NA	6	6	88	0.10403	0.50332	1.851	1.14842	2.0456E-06	-0.090955215
155	NA	6	8	86	0.10385	0.5061	1.901	1.15179	2.03286E-06	-0.090547555
156	NA	6	10	84	0.10379	0.50847	1.941	1.15599	2.02841E-06	-0.091095354
157	NA	6	12	82	0.1038	0.51045	1.971	1.16084	2.03107E-06	-0.092441619
158	NA	6	14	80	0.10384	0.51206	1.99	1.16623	2.0387E-06	-0.094551498
159	NA	6	16	78	0.10388	0.51335	1.999	1.17213	2.05007E-06	-0.097367378
160	NA	6	18	76	0.10391	0.51435	1.998	1.17854	2.06504E-06	-0.100916069
161	NA	6	20	74	0.10394	0.51509	1.988	1.1855	2.08473E-06	-0.10521432
162	NA	6	22	72	0.10397	0.51558	1.971	1.19304	2.1158E-06	-0.110228726
163	NA	6	24	70	0.104	0.51584	1.947	1.20121	2.18115E-06	-0.116049767
164	NA	6	26	68	0.10403	0.51589	1.916	1.21006	2.3183E-06	-0.122787283
165	NA	6	28	66	0.10406	0.51572	1.879	1.21964	2.5377E-06	-0.13050604
166	NA	6	30	64	0.10409	0.51534	1.835	1.23003	2.8502E-06	-0.13944462
167	NA	6	32	62	0.10411	0.51474	1.785	1.2413	3.21237E-06	-0.149733111
168	NA	6	34	60	0.10411	0.51394	1.729	1.25352	3.44217E-06	-0.161610321
169	NA	6	36	58	0.10407	0.51293	1.669	1.26675	3.32721E-06	-0.175158645
170	NA	6	38	56	0.10399	0.51174	1.606	1.28102	2.9391E-06	-0.190529484
171	NA	6	40	54	0.10384	0.51041	1.543	1.29638	2.53699E-06	-0.207620488
172	NA	6	42	52	0.1036	0.50898	1.48	1.31292	2.24506E-06	-0.22665851
173	NA	6	44	50	0.10324	0.5075	1.418	1.33072	2.03179E-06	-0.247721416
174	NA	6	46	48	0.10273	0.50594	1.358	1.34979	1.86164E-06	-0.270781323
175	NA	6	48	46	0.10206	0.50422	1.297	1.36997	1.72659E-06	-0.296520631
176	NA	6	50	44	0.10117	0.50218	1.233	1.39092	1.62205E-06	-0.325643337
177	NA	6	52	42	0.10002	0.49959	1.167	1.41221	1.5405E-06	-0.358298961
178	NA	6	54	40	0.09852	0.49627	1.097	1.43345	1.47314E-06	-0.39574952
179	NA	6	56	38	0.09664	0.49215	1.024	1.45429	1.41322E-06	-0.438766038
180	NA	6	58	36	0.09447	0.48735	0.952	1.47468	1.35756E-06	-0.487001217
181	NA	6	60	34	0.09222	0.48218	0.882	1.49484	1.30988E-06	-0.541177719
182	NA	6	62	32	0.08997	0.47696	0.817	1.51474	1.27851E-06	-0.600231493
183	NA	6	64	30	0.08771	0.47195	0.76	1.53413	1.26213E-06	-0.661463063
184	NA	6	66	28	0.08544	0.46749	0.711	1.55266	1.25742E-06	-0.723094516
185	NA	6	68	26	0.08319	0.46387	0.672	1.57005	1.26695E-06	-0.780520898
