0     sand(%)     silt(%)     clay(%)
539     22     64     14
540     22     66     12
541     22     68     10
542     22     70     8
543     22     72     6
544     22     74     4
545     22     76     2
546     22     78     0
547     24     0     76
548     24     2     74
549     24     4     72
550     24     6     70
551     24     8     68
552     24     10     66
553     24     12     64
554     24     14     62
555     24     16     60
556     24     18     58
557     24     20     56
558     24     22     54
559     24     24     52
560     24     26     50
561     24     28     48
562     24     30     46
563     24     32     44
564     24     34     42
565     24     36     40
566     24     38     38
567     24     40     36
568     24     42     34
569     24     44     32
570     24     46     30
571     24     48     28
572     24     50     26
573     24     52     24
574     24     54     22
575     24     56     20
576     24     58     18
577     24     60     16
578     24     62     14
579     24     64     12
580     24     66     10
581     24     68     8
582     24     70     6
583     24     72     4
584     24     74     2
585     24     76     0
586     26     0     74
587     26     2     72
588     26     4     70
589     26     6     68
590     26     8     66
591     26     10     64
592     26     12     62
593     26     14     60
594     26     16     58
595     26     18     56
596     26     20     54
597     26     22     52
598     26     24     50
599     26     26     48
600     26     28     46
601     26     30     44
602     26     32     42
603     26     34     40
604     26     36     38
605     26     38     36
606     26     40     34
607     26     42     32
608     26     44     30
609     26     46     28
610     26     48     26
611     26     50     24
612     26     52     22
613     26     54     20
614     26     56     18
615     26     58     16
616     26     60     14
617     26     62     12
618     26     64     10
619     26     66     8
620     26     68     6
621     26     70     4
622     26     72     2
623     26     74     0
624     28     0     72
625     28     2     70
626     28     4     68
627     28     6     66
628     28     8     64
629     28     10     62
630     28     12     60
631     28     14     58
632     28     16     56
633     28     18     54
634     28     20     52
635     28     22     50
636     28     24     48
637     28     26     46
638     28     28     44
639     28     30     42
640     28     32     40
641     28     34     38
642     28     36     36
643     28     38     34
644     28     40     32
645     28     42     30
646     28     44     28
647     28     46     26
648     28     48     24
649     28     50     22
650     28     52     20
651     28     54     18
652     28     56     16
653     28     58     14
654     28     60     12
655     28     62     10
656     28     64     8
657     28     66     6
658     28     68     4
659     28     70     2
660     28     72     0
661     30     0     70
662     30     2     68
663     30     4     66
664     30     6     64
665     30     8     62
666     30     10     60
667     30     12     58
668     30     14     56
669     30     16     54
670     30     18     52
671     30     20     50
672     30     22     48
673     30     24     46
674     30     26     44
675     30     28     42
676     30     30     40
677     30     32     38
678     30     34     36
679     30     36     34
680     30     38     32
681     30     40     30
682     30     42     28
683     30     44     26
684     30     46     24
685     30     48     22
686     30     50     20
687     30     52     18
688     30     54     16
689     30     56     14
690     30     58     12
691     30     60     10
692     30     62     8
693     30     64     6
694     30     66     4
695     30     68     2
696     30     70     0
697     32     0     68
698     32     2     66
699     32     4     64
700     32     6     62
701     32     8     60
702     32     10     58
703     32     12     56
704     32     14     54
705     32     16     52
706     32     18     50
707     32     20     48
708     32     22     46
709     32     24     44
710     32     26     42
711     32     28     40
712     32     30     38
713     32     32     36
714     32     34     34
715     32     36     32
716     32     38     30
717     32     40     28
718     32     42     26
719     32     44     24
720     32     46     22
721     32     48     20
722     32     50     18
723     32     52     16
724     32     54     14
725     32     56     12
726     32     58     10
727     32     60     8
728     32     62     6
729     32     64     4
730     32     66     2
731     32     68     0
732     34     0     66
733     34     2     64
734     34     4     62
735     34     6     60
736     34     8     58
737     34     10     56
738     34     12     54
739     34     14     52
740     34     16     50
741     34     18     48
742     34     20     46
743     34     22     44
744     34     24     42
745     34     26     40
746     34     28     38
747     34     30     36
748     34     32     34
749     34     34     32
750     34     36     30
751     34     38     28
752     34     40     26
753     34     42     24
754     34     44     22
755     34     46     20
756     34     48     18
757     34     50     16
758     34     52     14
759     34     54     12
760     34     56     10
761     34     58     8
762     34     60     6
763     34     62     4
764     34     64     2
765     34     66     0
766     36     0     64
767     36     2     62
768     36     4     60
769     36     6     58
770     36     8     56
771     36     10     54
772     36     12     52
773     36     14     50
774     36     16     48
775     36     18     46
776     36     20     44
777     36     22     42
778     36     24     40
779     36     26     38
780     36     28     36
781     36     30     34
782     36     32     32
783     36     34     30
784     36     36     28
785     36     38     26
786     36     40     24
787     36     42     22
788     36     44     20
789     36     46     18
790     36     48     16
791     36     50     14
792     36     52     12
793     36     54     10
794     36     56     8
795     36     58     6
796     36     60     4
797     36     62     2
798     36     64     0
799     38     0     62
800     38     2     60
801     38     4     58
802     38     6     56
803     38     8     54
804     38     10     52
805     38     12     50
806     38     14     48
807     38     16     46
808     38     18     44
809     38     20     42
810     38     22     40
811     38     24     38
812     38     26     36
813     38     28     34
814     38     30     32
815     38     32     30
816     38     34     28
817     38     36     26
818     38     38     24
819     38     40     22
820     38     42     20
821     38     44     18
822     38     46     16
823     38     48     14
824     38     50     12
825     38     52     10
826     38     54     8
827     38     56     6
828     38     58     4
829     38     60     2
830     38     62     0
831     40     0     60
832     40     2     58
833     40     4     56
834     40     6     54
835     40     8     52
836     40     10     50
837     40     12     48
838     40     14     46
839     40     16     44
840     40     18     42
841     40     20     40
842     40     22     38
843     40     24     36
844     40     26     34
845     40     28     32
846     40     30     30
847     40     32     28
848     40     34     26
849     40     36     24
850     40     38     22
851     40     40     20
852     40     42     18
853     40     44     16
854     40     46     14
855     40     48     12
856     40     50     10
857     40     52     8
858     40     54     6
859     40     56     4
860     40     58     2
861     40     60     0
862     42     0     58
863     42     2     56
864     42     4     54
865     42     6     52
866     42     8     50
867     42     10     48
868     42     12     46
869     42     14     44
870     42     16     42
871     42     18     40
872     42     20     38
873     42     22     36
874     42     24     34
875     42     26     32
876     42     28     30
877     42     30     28
878     42     32     26
879     42     34     24
880     42     36     22
881     42     38     20
882     42     40     18
883     42     42     16
884     42     44     14
885     42     46     12
886     42     48     10
887     42     50     8
888     42     52     6
889     42     54     4
890     42     56     2
891     42     58     0
892     44     0     56
893     44     2     54
894     44     4     52
895     44     6     50
896     44     8     48
897     44     10     46
898     44     12     44
899     44     14     42
900     44     16     40
901     44     18     38
902     44     20     36
903     44     22     34
904     44     24     32
905     44     26     30
906     44     28     28
907     44     30     26
908     44     32     24
909     44     34     22
910     44     36     20
911     44     38     18
912     44     40     16
913     44     42     14
914     44     44     12
915     44     46     10
916     44     48     8
917     44     50     6
918     44     52     4
919     44     54     2
920     44     56     0
921     46     0     54
922     46     2     52
923     46     4     50
924     46     6     48
925     46     8     46
926     46     10     44
927     46     12     42
928     46     14     40
929     46     16     38
930     46     18     36
931     46     20     34
932     46     22     32
933     46     24     30
934     46     26     28
935     46     28     26
936     46     30     24
937     46     32     22
938     46     34     20
939     46     36     18
940     46     38     16
941     46     40     14
942     46     42     12
943     46     44     10
944     46     46     8
945     46     48     6
946     46     50     4
947     46     52     2
948     46     54     0
949     48     0     52
950     48     2     50
951     48     4     48
952     48     6     46
953     48     8     44
954     48     10     42
955     48     12     40
956     48     14     38
957     48     16     36
958     48     18     34
959     48     20     32
960     48     22     30
961     48     24     28
962     48     26     26
963     48     28     24
964     48     30     22
965     48     32     20
966     48     34     18
967     48     36     16
968     48     38     14
969     48     40     12
970     48     42     10
971     48     44     8
972     48     46     6
973     48     48     4
974     48     50     2
975     48     52     0
976     50     0     50
977     50     2     48
978     50     4     46
979     50     6     44
980     50     8     42
981     50     10     40
982     50     12     38
983     50     14     36
984     50     16     34
985     50     18     32
986     50     20     30
987     50     22     28
988     50     24     26
989     50     26     24
990     50     28     22
991     50     30     20
992     50     32     18
993     50     34     16
994     50     36     14
995     50     38     12
996     50     40     10
997     50     42     8
998     50     44     6
999     50     46     4
1000     50     48     2
1001     50     50     0
1002     52     0     48
1003     52     2     46
1004     52     4     44
1005     52     6     42
1006     52     8     40
1007     52     10     38
1008     52     12     36
1009     52     14     34
1010     52     16     32
1011     52     18     30
1012     52     20     28
1013     52     22     26
1014     52     24     24
1015     52     26     22
1016     52     28     20
1017     52     30     18
1018     52     32     16
1019     52     34     14
1020     52     36     12
1021     52     38     10
1022     52     40     8
1023     52     42     6
1024     52     44     4
1025     52     46     2
1026     52     48     0
1027     54     0     46
1028     54     2     44
1029     54     4     42
1030     54     6     40
1031     54     8     38
1032     54     10     36
1033     54     12     34
1034     54     14     32
1035     54     16     30
1036     54     18     28
1037     54     20     26
1038     54     22     24
1039     54     24     22
1040     54     26     20
1041     54     28     18
1042     54     30     16
1043     54     32     14
1044     54     34     12
1045     54     36     10
1046     54     38     8
1047     54     40     6
1048     54     42     4
1049     54     44     2
1050     54     46     0
1051     56     0     44
1052     56     2     42
1053     56     4     40
1054     56     6     38
1055     56     8     36
1056     56     10     34
1057     56     12     32
1058     56     14     30
1059     56     16     28
1060     56     18     26
1061     56     20     24
1062     56     22     22
1063     56     24     20
1064     56     26     18
1065     56     28     16
1066     56     30     14
1067     56     32     12
1068     56     34     10
1069     56     36     8
1070     56     38     6
1071     56     40     4
1072     56     42     2
